Vietnamese,Korean,Vietnamese_Sentence,Korean_Sentence,tts_url,images_url
nghệ thuật,예술,Nghệ thuật làm cho cuộc sống thêm đẹp,예술은 삶을 더 아름답게 만듭니다.,https://r2.sangsang.vip/mp3/d5badab1c21969637489314e4e734b55.mp3,https://r2.sangsang.vip/images/Nghệ_thuật_làm_cho_cuộc_sống_thêm_đẹp.png
thể thao,스포츠,Tôi thích chơi thể thao,저는 스포츠를 좋아합니다.,https://r2.sangsang.vip/mp3/440066bbdfc8669b475456ac4b97666a.mp3,https://r2.sangsang.vip/images/Tôi_thích_chơi_thể_thao.png
bóng đá,축구,Bóng đá là môn thể thao vua,축구는 스포츠의 왕입니다.,https://r2.sangsang.vip/mp3/02d8af91ab5c6977801d0ba31fe4afc6.mp3,https://r2.sangsang.vip/images/Bóng_đá_là_môn_thể_thao_vua.png
bóng rổ,농구,Anh ấy chơi bóng rổ rất giỏi,그는 농구를 아주 잘합니다.,https://r2.sangsang.vip/mp3/f2e6080ca66ad6d6c21ce62a52a3a730.mp3,https://r2.sangsang.vip/images/Anh_ấy_chơi_bóng_rổ_rất_giỏi.png
bóng chuyền,배구,Đội tuyển bóng chuyền nữ Việt Nam đã chiến thắng,베트남 여자 배구 대표팀이 승리했습니다.,https://r2.sangsang.vip/mp3/05885675792c505c2a9e21cecd4ff1d6.mp3,https://r2.sangsang.vip/images/Đội_tuyển_bóng_chuyền_nữ_Việt_Nam_đã_chiến_thắng.png
bơi,수영,Tôi biết bơi từ khi còn nhỏ,저는 어렸을 때부터 수영을 할 줄 알아요.,https://r2.sangsang.vip/mp3/19db1ca7e3109bb2de0c4a763a6b8699.mp3,https://r2.sangsang.vip/images/Tôi_biết_bơi_từ_khi_còn_nhỏ.png
chạy,달리기,Anh ấy chạy rất nhanh,그는 매우 빨리 달립니다.,https://r2.sangsang.vip/mp3/2828c4c9e9fe12f31c9b6aacd55a301c.mp3,https://r2.sangsang.vip/images/Anh_ấy_chạy_rất_nhanh.png
đi bộ,걷기,Tôi thường đi bộ vào buổi sáng,저는 보통 아침에 산책을 합니다.,https://r2.sangsang.vip/mp3/6092b84a4cc103729070e4b2fbb12b78.mp3,https://r2.sangsang.vip/images/Tôi_thường_đi_bộ_vào_buổi_sáng.png
leo núi,등산,Cuối tuần tôi thường đi leo núi,주말에 저는 보통 등산을 갑니다.,https://r2.sangsang.vip/mp3/7e547a00533553e9a9318200da5f0cd6.mp3,https://r2.sangsang.vip/images/Cuối_tuần_tôi_thường_đi_leo_núi.png
du lịch,여행,Tôi thích đi du lịch,저는 여행을 좋아합니다.,https://r2.sangsang.vip/mp3/acae0479fd55225cb60808f1744a9756.mp3,https://r2.sangsang.vip/images/Tôi_thích_đi_du_lịch.png
sở thích,취미,Sở thích của bạn là gì?,취미가 뭐예요?,https://r2.sangsang.vip/mp3/5c0d3b54c645cd8d91ce29ed87fc4d1c.mp3,https://r2.sangsang.vip/images/Sở_thích_của_bạn_là_gì.png
trò chơi,게임,Trẻ em rất thích chơi trò chơi,아이들은 게임하는 것을 아주 좋아합니다.,https://r2.sangsang.vip/mp3/8a47c61cbcdb0489e2eefd10678649b0.mp3,https://r2.sangsang.vip/images/Trẻ_em_rất_thích_chơi_trò_chơi.png
câu hỏi,질문,Tôi có một câu hỏi,질문이 있습니다.,https://r2.sangsang.vip/mp3/92bf5f07ad59d7ba6588e3c481dc82ce.mp3,https://r2.sangsang.vip/images/Tôi_có_một_câu_hỏi.png
câu trả lời,대답,Bạn có câu trả lời chưa?,답변이 있나요?,https://r2.sangsang.vip/mp3/0add51456de20ee4fc24dda39a603157.mp3,https://r2.sangsang.vip/images/Bạn_có_câu_trả_lời_chưa.png
vấn đề,문제,Chúng ta cần giải quyết vấn đề này,우리는 이 문제를 해결해야 합니다.,https://r2.sangsang.vip/mp3/253e0ff829368017fba7b6cab0672e92.mp3,https://r2.sangsang.vip/images/Chúng_ta_cần_giải_quyết_vấn_đề_này.png
giải pháp,해결책,Đây là giải pháp tốt nhất,이것이 최상의 해결책입니다.,https://r2.sangsang.vip/mp3/50db540a1f911ae83fb08e0ffc90dfb5.mp3,https://r2.sangsang.vip/images/Đây_là_giải_pháp_tốt_nhất.png
ý kiến,의견,Xin cho tôi biết ý kiến của bạn,당신의 의견을 알려주세요.,https://r2.sangsang.vip/mp3/97cbc3525a3b8f21b729926800c956e4.mp3,https://r2.sangsang.vip/images/Xin_cho_tôi_biết_ý_kiến_của_bạn.png
sự thật,사실,Đó là sự thật,그것은 사실입니다.,https://r2.sangsang.vip/mp3/9732fc23ef977884bb18601f8d5e354b.mp3,https://r2.sangsang.vip/images/Đó_là_sự_thật.png
lời nói dối,거짓말,Đừng nói dối,거짓말하지 마세요.,https://r2.sangsang.vip/mp3/a80170c214a68b43dbe08e03847e6ae2.mp3,https://r2.sangsang.vip/images/Đừng_nói_dối.png
lý do,이유,Bạn có thể cho tôi biết lý do không?,이유를 알려줄 수 있나요?,https://r2.sangsang.vip/mp3/75c9d01639bceb2c24b648d570f0f4ce.mp3,https://r2.sangsang.vip/images/Bạn_có_thể_cho_tôi_biết_lý_do_không.png
kết quả,결과,Kết quả thi sẽ có vào ngày mai,시험 결과는 내일 나올 것입니다.,https://r2.sangsang.vip/mp3/a204d6587adf378131241d13ff55a333.mp3,https://r2.sangsang.vip/images/Kết_quả_thi_sẽ_có_vào_ngày_mai.png
cơ hội,기회,Đây là một cơ hội tốt,이것은 좋은 기회입니다.,https://r2.sangsang.vip/mp3/76e76ad7b4d7576091f07025d9296ed7.mp3,https://r2.sangsang.vip/images/Đây_là_một_cơ_hội_tốt.png
khó khăn,어려움,Ai cũng gặp phải khó khăn trong cuộc sống,누구나 살면서 어려움을 겪습니다.,https://r2.sangsang.vip/mp3/327ddadf6ae11f4ee6e6fbb654ab35a8.mp3,https://r2.sangsang.vip/images/Ai_cũng_gặp_phải_khó_khăn_trong_cuộc_sống.png
thành công,성공,Chúc bạn thành công,성공을 기원합니다.,https://r2.sangsang.vip/mp3/90d6b547de978d86146f31ee659b553e.mp3,https://r2.sangsang.vip/images/Chúc_bạn_thành_công.png
thất bại,실패,Thất bại là mẹ thành công,실패는 성공의 어머니입니다.,https://r2.sangsang.vip/mp3/917b2e573621f9be9711ba198494b519.mp3,https://r2.sangsang.vip/images/Thất_bại_là_mẹ_thành_công.png
kinh nghiệm,경험,Anh ấy có nhiều kinh nghiệm làm việc,그는 업무 경험이 많습니다.,https://r2.sangsang.vip/mp3/88f024c34814332f3aebe93771bd6212.mp3,https://r2.sangsang.vip/images/Anh_ấy_có_nhiều_kinh_nghiệm_làm_việc.png
kiến thức,지식,Kiến thức là vô tận,지식은 끝이 없습니다.,https://r2.sangsang.vip/mp3/6ad6618e8a2f0075724af801d743af3a.mp3,https://r2.sangsang.vip/images/Kiến_thức_là_vô_tận.png
thông tin,정보,Tôi cần thêm thông tin,더 많은 정보가 필요합니다.,https://r2.sangsang.vip/mp3/1092df3a44828f9a79cfab7c8b29ecd7.mp3,https://r2.sangsang.vip/images/Tôi_cần_thêm_thông_tin.png
tin tức,뉴스,Bạn đã xem tin tức hôm nay chưa?,오늘 뉴스를 봤나요?,https://r2.sangsang.vip/mp3/9f7b38f24a836739fd5676a4a93b84eb.mp3,https://r2.sangsang.vip/images/Bạn_đã_xem_tin_tức_hôm_nay_chưa.png
quảng cáo,광고,Tôi không thích xem quảng cáo,저는 광고 보는 것을 좋아하지 않습니다.,https://r2.sangsang.vip/mp3/12bc893c1992aa864c62f88c30925580.mp3,https://r2.sangsang.vip/images/Tôi_không_thích_xem_quảng_cáo.png
hợp đồng,계약,Chúng tôi đã ký hợp đồng,우리는 계약서에 서명했습니다.,https://r2.sangsang.vip/mp3/7b8072c405c9667d2568b73cdd348600.mp3,https://r2.sangsang.vip/images/Chúng_tôi_đã_ký_hợp_đồng.png
giá,가격,Giá của cái áo này là bao nhiêu?,이 옷 가격은 얼마인가요?,https://r2.sangsang.vip/mp3/8041db554e037dc6fa726bc7671c1f7a.mp3,https://r2.sangsang.vip/images/Giá_của_cái_áo_này_là_bao_nhiêu.png
chất lượng,품질,Chất lượng sản phẩm này rất tốt,이 제품의 품질은 매우 좋습니다.,https://r2.sangsang.vip/mp3/6b35222c0ca84a287b6b3afa730eaaa9.mp3,https://r2.sangsang.vip/images/Chất_lượng_sản_phẩm_này_rất_tốt.png
số lượng,수량,Chúng tôi cần số lượng lớn,우리는 대량이 필요합니다.,https://r2.sangsang.vip/mp3/6aca172146e6ecd19efa37bd8728ddc6.mp3,https://r2.sangsang.vip/images/Chúng_tôi_cần_số_lượng_lớn.png
kích thước,크기/사이즈,Bạn mặc kích thước nào?,어떤 사이즈를 입으세요?,https://r2.sangsang.vip/mp3/95b79378b753d714b1843eea3670df89.mp3,https://r2.sangsang.vip/images/Bạn_mặc_kích_thước_nào.png
trọng lượng,무게,Trọng lượng của nó là bao nhiêu?,그것의 무게는 얼마인가요?,https://r2.sangsang.vip/mp3/0556908a7d11a899d06dd4b61c4aef18.mp3,https://r2.sangsang.vip/images/Trọng_lượng_của_nó_là_bao_nhiêu.png
khoảng cách,거리,Khoảng cách từ đây đến đó là bao xa?,여기서 거기까지의 거리는 얼마나 되나요?,https://r2.sangsang.vip/mp3/5f269af4810c90990b895f9f753e0b58.mp3,https://r2.sangsang.vip/images/Khoảng_cách_từ_đây_đến_đó_là_bao_xa.png
nhiệt độ,온도,Nhiệt độ hôm nay là 30 độ,오늘 기온은 30도입니다.,https://r2.sangsang.vip/mp3/06c5148c0beb87301d23136581235252.mp3,https://r2.sangsang.vip/images/Nhiệt_độ_hôm_nay_là_30_độ.png
độ ẩm,습도,Độ ẩm trong không khí cao,공기 중 습도가 높습니다.,https://r2.sangsang.vip/mp3/42d28218e02300190def5bdc6cccb8d0.mp3,https://r2.sangsang.vip/images/Độ_ẩm_trong_không_khí_cao.png
áp suất,압력,Áp suất không khí đang giảm,기압이 낮아지고 있습니다.,https://r2.sangsang.vip/mp3/8d97ce46df0aeadace079a3a15ab0564.mp3,https://r2.sangsang.vip/images/Áp_suất_không_khí_đang_giảm.png
tốc độ,속도,Tốc độ tối đa là 60kmh,최대 속도는 시속 60km입니다.,https://r2.sangsang.vip/mp3/1764aa73bb39d79bef77f2addfea04ee.mp3,https://r2.sangsang.vip/images/Tốc_độ_tối_đa_là_60kmh.png
âm thanh,소리,Âm thanh này nghe rất quen,이 소리는 매우 익숙하게 들립니다.,https://r2.sangsang.vip/mp3/261b618133499765d86f98c62310ee4c.mp3,https://r2.sangsang.vip/images/Âm_thanh_này_nghe_rất_quen.png
ánh sáng,빛,Ánh sáng mặt trời rất tốt cho sức khỏe,햇빛은 건강에 매우 좋습니다.,https://r2.sangsang.vip/mp3/c98273c110a8dbfcc708345c4eaed679.mp3,https://r2.sangsang.vip/images/Ánh_sáng_mặt_trời_rất_tốt_cho_sức_khỏe.png
bóng tối,어둠,Tôi sợ bóng tối,저는 어둠이 무서워요.,https://r2.sangsang.vip/mp3/7901e715d8c3357cfac973b726a62c80.mp3,https://r2.sangsang.vip/images/Tôi_sợ_bóng_tối.png
mùi,냄새,Mùi hoa này thơm quá,이 꽃 향기가 너무 좋네요.,https://r2.sangsang.vip/mp3/ec40b1cb7bf6a3c882cbdd5cb31fa93f.mp3,https://r2.sangsang.vip/images/Mùi_hoa_này_thơm_quá.png
vị,맛,Món ăn này có vị rất lạ,이 음식은 맛이 매우 특이합니다.,https://r2.sangsang.vip/mp3/a19c2763fbce2a402b7eb988e4c90db6.mp3,https://r2.sangsang.vip/images/Món_ăn_này_có_vị_rất_lạ.png
cảm giác,느낌,Tôi có cảm giác không tốt,기분이 좋지 않습니다.,https://r2.sangsang.vip/mp3/e35e5b8636f263310ed9812ad4c08ad9.mp3,https://r2.sangsang.vip/images/Tôi_có_cảm_giác_không_tốt.png
suy nghĩ,생각,Suy nghĩ của bạn là gì?,당신의 생각은 무엇인가요?,https://r2.sangsang.vip/mp3/5c23c45cfcf16783d333ee2d6daf4a5a.mp3,https://r2.sangsang.vip/images/Suy_nghĩ_của_bạn_là_gì.png
cảm xúc,감정,Đừng để cảm xúc chi phối lý trí,감정이 이성을 지배하게 두지 마세요.,https://r2.sangsang.vip/mp3/a23ca7cdd95e3b1d7962182b7fe1d94e.mp3,https://r2.sangsang.vip/images/Đừng_để_cảm_xúc_chi_phối_lý_trí.png
ý nghĩa,의미,Từ này có ý nghĩa gì?,이 단어는 무슨 뜻인가요?,https://r2.sangsang.vip/mp3/e42487d8fc14e4b6b18d45d0f9ad2453.mp3,https://r2.sangsang.vip/images/Từ_này_có_ý_nghĩa_gì.png
mục đích,목적,Mục đích của bạn là gì?,당신의 목적은 무엇인가요?,https://r2.sangsang.vip/mp3/6b38fac2a03cc60f54a6ae3a34a871f6.mp3,https://r2.sangsang.vip/images/Mục_đích_của_bạn_là_gì.png
kế hoạch,계획,Bạn có kế hoạch gì cho cuối tuần không?,주말에 무슨 계획이 있나요?,https://r2.sangsang.vip/mp3/624595e15c817d8bcef916503914bc47.mp3,https://r2.sangsang.vip/images/Bạn_có_kế_hoạch_gì_cho_cuối_tuần_không.png
dự án,프로젝트,Dự án này rất quan trọng,이 프로젝트는 매우 중요합니다.,https://r2.sangsang.vip/mp3/8717731992f02e35963ef84266f25b1e.mp3,https://r2.sangsang.vip/images/Dự_án_này_rất_quan_trọng.png
công việc,일/업무,Công việc của tôi rất bận,제 일은 매우 바쁩니다.,https://r2.sangsang.vip/mp3/485a805df612613edb1c8cd286ba52a9.mp3,https://r2.sangsang.vip/images/Công_việc_của_tôi_rất_bận.png
nghề nghiệp,직업,Nghề nghiệp của bạn là gì?,당신의 직업은 무엇인가요?,https://r2.sangsang.vip/mp3/c59f3a6c9891d11c482f251dde2dc3fa.mp3,https://r2.sangsang.vip/images/Nghề_nghiệp_của_bạn_là_gì.png
tương lai,미래,Hãy suy nghĩ về tương lai của bạn,당신의 미래에 대해 생각해보세요.,https://r2.sangsang.vip/mp3/b03a47323f7b2f4b79e9a6365e655926.mp3,https://r2.sangsang.vip/images/Hãy_suy_nghĩ_về_tương_lai_của_bạn.png
quá khứ,과거,Đừng sống mãi trong quá khứ,과거에만 살지 마세요.,https://r2.sangsang.vip/mp3/cdbc2f3c4f85ac14ec509ec6a2d0b2e2.mp3,https://r2.sangsang.vip/images/Đừng_sống_mãi_trong_quá_khứ.png
hiện tại,현재,Hãy sống cho hiện tại,현재를 위해 사세요.,https://r2.sangsang.vip/mp3/6aa4939cdc2be7b96e2f6ffa1706913c.mp3,https://r2.sangsang.vip/images/Hãy_sống_cho_hiện_tại.png
bắt đầu,시작,Buổi học bắt đầu lúc 8 giờ,수업은 8시에 시작합니다.,https://r2.sangsang.vip/mp3/c71ad7e3b16e0e6ad032a69591893134.mp3,https://r2.sangsang.vip/images/Buổi_học_bắt_đầu_lúc_8_giờ.png
kết thúc,끝,Bộ phim kết thúc có hậu,영화는 해피엔딩으로 끝났습니다.,https://r2.sangsang.vip/mp3/1cf7bb1dd8cc69aae113ea38c25b0b0a.mp3,https://r2.sangsang.vip/images/Bộ_phim_kết_thúc_có_hậu.png
đầu,머리/시작,Đây là phần đầu của câu chuyện,이것은 이야기의 시작 부분입니다.,https://r2.sangsang.vip/mp3/c98518da0507666924ec7cc94af41e17.mp3,https://r2.sangsang.vip/images/Đây_là_phần_đầu_của_câu_chuyện.png
cuối,끝,Đây là phần cuối của cuốn sách,이것은 책의 마지막 부분입니다.,https://r2.sangsang.vip/mp3/69276965eddb3b97a393a8f69b9b16f1.mp3,https://r2.sangsang.vip/images/Đây_là_phần_cuối_của_cuốn_sách.png
trên,위,Quyển sách ở trên bàn,책은 책상 위에 있습니다.,https://r2.sangsang.vip/mp3/f432df3dc4b869a32379f382df804941.mp3,https://r2.sangsang.vip/images/Quyển_sách_ở_trên_bàn.png
dưới,아래,Con mèo ở dưới gầm bàn,고양이는 책상 밑에 있습니다.,https://r2.sangsang.vip/mp3/8f56ea264e97b763565bda6410cae4c5.mp3,https://r2.sangsang.vip/images/Con_mèo_ở_dưới_gầm_bàn.png
trong,안,Có gì trong hộp vậy,상자 안에 무엇이 있나요?,https://r2.sangsang.vip/mp3/e7a188214c2d5da083809ef949dd8e6b.mp3,https://r2.sangsang.vip/images/Có_gì_trong_hộp_vậy.png
ngoài,밖,Anh ấy đang ở ngoài vườn,그는 정원 밖에 있습니다.,https://r2.sangsang.vip/mp3/7317542e8ab29661811eb5709bd6e622.mp3,https://r2.sangsang.vip/images/Anh_ấy_đang_ở_ngoài_vườn.png
trước,앞,Nhà tôi ở trước công viên,우리 집은 공원 앞에 있습니다.,https://r2.sangsang.vip/mp3/3f21e91fde9566950b7fe0cb0ec6de2b.mp3,https://r2.sangsang.vip/images/Nhà_tôi_ở_trước_công_viên.png
sau,뒤,Trường học ở sau nhà tôi,학교는 우리 집 뒤에 있습니다.,https://r2.sangsang.vip/mp3/31476eb49c79dd217e9e9131e9f18555.mp3,https://r2.sangsang.vip/images/Trường_học_ở_sau_nhà_tôi.png
bên cạnh,옆,Anh ấy ngồi bên cạnh tôi,그는 제 옆에 앉아 있습니다.,https://r2.sangsang.vip/mp3/d1eedfb2ee9260583e8a3655afed2e20.mp3,https://r2.sangsang.vip/images/Anh_ấy_ngồi_bên_cạnh_tôi.png
giữa,사이,Ngân hàng ở giữa bưu điện và hiệu sách,은행은 우체국과 서점 사이에 있습니다.,https://r2.sangsang.vip/mp3/71fa8d7f2de369116b14fa05e72b804f.mp3,https://r2.sangsang.vip/images/Ngân_hàng_ở_giữa_bưu_điện_và_hiệu_sách.png
gần,가까이,Nhà tôi ở gần trường,우리 집은 학교 근처에 있습니다.,https://r2.sangsang.vip/mp3/d37b3cd1ee746ee900540b2db5ef286d.mp3,https://r2.sangsang.vip/images/Nhà_tôi_ở_gần_trường.png
xa,멀리,Nhà anh ấy ở xa đây,그의 집은 여기서 멉니다.,https://r2.sangsang.vip/mp3/58d49eca813565eb37f7875155d40cb5.mp3,https://r2.sangsang.vip/images/Nhà_anh_ấy_ở_xa_đây.png
đông,동쪽,Mặt trời mọc ở hướng đông,해는 동쪽에서 뜹니다.,https://r2.sangsang.vip/mp3/bc6f978b04ecd9984fbf7e959c534f90.mp3,https://r2.sangsang.vip/images/Mặt_trời_mọc_ở_hướng_đông.png
tây,서쪽,Mặt trời lặn ở hướng tây,해는 서쪽에서 집니다.,https://r2.sangsang.vip/mp3/1603e382cc2c139a27875bdefd17f117.mp3,https://r2.sangsang.vip/images/Mặt_trời_lặn_ở_hướng_tây.png
nam,남쪽,Thành phố Hồ Chí Minh ở phía nam,호치민시는 남쪽에 있습니다.,https://r2.sangsang.vip/mp3/9d44b6fe3e076abbc00ae3f0fd79beee.mp3,https://r2.sangsang.vip/images/Thành_phố_Hồ_Chí_Minh_ở_phía_nam.png
bắc,북쪽,Hà Nội ở phía bắc,하노이는 북쪽에 있습니다.,https://r2.sangsang.vip/mp3/842883558ef5a6d976ae2009f1861dcd.mp3,https://r2.sangsang.vip/images/Hà_Nội_ở_phía_bắc.png
trái,왼쪽,Rẽ trái ở ngã tư tiếp theo,다음 사거리에서 좌회전하세요.,https://r2.sangsang.vip/mp3/3c5a6dd8b4a338e45b9707295b1e5935.mp3,https://r2.sangsang.vip/images/Rẽ_trái_ở_ngã_tư_tiếp_theo.png
phải,오른쪽,Rẽ phải để đến bệnh viện,병원에 가려면 우회전하세요.,https://r2.sangsang.vip/mp3/2710fcd1ad84c360060ab0c0c18a1d8f.mp3,https://r2.sangsang.vip/images/Rẽ_phải_để_đến_bệnh_viện.png
phần,부분,Đây là phần quan trọng nhất,이것이 가장 중요한 부분입니다.,https://r2.sangsang.vip/mp3/34c00955346f92bc6832de4b5ece67a7.mp3,https://r2.sangsang.vip/images/Đây_là_phần_quan_trọng_nhất.png
một nửa,절반,Tôi đã ăn một nửa cái bánh,저는 케이크의 절반을 먹었습니다.,https://r2.sangsang.vip/mp3/b6ca2ae660bda2f47bd7be293dd56132.mp3,https://r2.sangsang.vip/images/Tôi_đã_ăn_một_nửa_cái_bánh.png
toàn bộ,전부,Tôi đã đọc toàn bộ cuốn sách,저는 책 전체를 읽었습니다.,https://r2.sangsang.vip/mp3/7bdc52dfe2c3afb5f0ee0d0fed6f206b.mp3,https://r2.sangsang.vip/images/Tôi_đã_đọc_toàn_bộ_cuốn_sách.png
một chút,조금,Cho tôi một chút đường,설탕을 조금 주세요.,https://r2.sangsang.vip/mp3/ac099f4fca9fe61cc2d84a8b19760faa.mp3,https://r2.sangsang.vip/images/Cho_tôi_một_chút_đường.png
nhiều,많이,Anh ấy có nhiều bạn,그는 친구가 많습니다.,https://r2.sangsang.vip/mp3/b5b38e29bccac11d73c4bd3aee32585c.mp3,https://r2.sangsang.vip/images/Anh_ấy_có_nhiều_bạn.png
ít,조금/적게,Tôi có rất ít thời gian,저는 시간이 거의 없습니다.,https://r2.sangsang.vip/mp3/d856a4a7f2ab834f7291c32226bd234d.mp3,https://r2.sangsang.vip/images/Tôi_có_rất_ít_thời_gian.png
tất cả,모두,Tất cả mọi người đều đồng ý,모든 사람이 동의했습니다.,https://r2.sangsang.vip/mp3/8f29bc26141f5e8836a0ccc3ce5d8510.mp3,https://r2.sangsang.vip/images/Tất_cả_mọi_người_đều_đồng_ý.png
mỗi,각각의,Mỗi người có một ý kiến khác nhau,각자 다른 의견을 가지고 있습니다.,https://r2.sangsang.vip/mp3/17ce422968ee43ac6838d6ceed51d8e4.mp3,https://r2.sangsang.vip/images/Mỗi_người_có_một_ý_kiến_khác_nhau.png
một vài,몇몇,Chỉ có một vài người đến,몇 명만 왔습니다.,https://r2.sangsang.vip/mp3/26549122b71804420d736eb7eb2c1c1e.mp3,https://r2.sangsang.vip/images/Chỉ_có_một_vài_người_đến.png
khác,다른,Bạn có ý kiến nào khác không?,다른 의견이 있나요?,https://r2.sangsang.vip/mp3/25a625ff4b467544b77a3c1352599c5b.mp3,https://r2.sangsang.vip/images/Bạn_có_ý_kiến_nào_khác_không.png
giống,같은,Hai anh em họ rất giống nhau,두 형제는 매우 닮았습니다.,https://r2.sangsang.vip/mp3/0d17bc70061f4ba5f68bab27cee997e6.mp3,https://r2.sangsang.vip/images/Hai_anh_em_họ_rất_giống_nhau.png
nhau,서로,Chúng tôi yêu nhau,우리는 서로 사랑합니다.,https://r2.sangsang.vip/mp3/5c700c71d22a8c0203c002c1b2d3f3ef.mp3,https://r2.sangsang.vip/images/Chúng_tôi_yêu_nhau.png
cùng,함께,Chúng ta hãy cùng nhau cố gắng,우리 함께 노력합시다.,https://r2.sangsang.vip/mp3/88220392b35d7ef067c3f72f290b58b0.mp3,https://r2.sangsang.vip/images/Chúng_ta_hãy_cùng_nhau_cố_gắng.png
một mình,혼자,Tôi thích đi du lịch một mình,저는 혼자 여행하는 것을 좋아합니다.,https://r2.sangsang.vip/mp3/7ceb7f017d8d7f24591a2f28c09b2a0d.mp3,https://r2.sangsang.vip/images/Tôi_thích_đi_du_lịch_một_mình.png
lần,번,Đây là lần đầu tiên tôi đến Việt Nam,베트남에 온 것은 이번이 처음입니다.,https://r2.sangsang.vip/mp3/5456d973d416e29543f12506631353de.mp3,https://r2.sangsang.vip/images/Đây_là_lần_đầu_tiên_tôi_đến_Việt_Nam.png
thứ tự,순서,Hãy xếp hàng theo thứ tự,순서대로 줄을 서세요.,https://r2.sangsang.vip/mp3/61eb30d7de90a844a9c5d3e3e8ed614a.mp3,https://r2.sangsang.vip/images/Hãy_xếp_hàng_theo_thứ_tự.png
cách,방법,Bạn có cách nào khác không?,다른 방법이 있나요?,https://r2.sangsang.vip/mp3/3a7a2763ce55f83b1fc2473867884f45.mp3,https://r2.sangsang.vip/images/Bạn_có_cách_nào_khác_không.png
lý thuyết,이론,Lý thuyết và thực hành cần đi đôi với nhau,이론과 실천은 함께 가야 합니다.,https://r2.sangsang.vip/mp3/9b00a4628faea3ce6bd001af3dbdcea2.mp3,https://r2.sangsang.vip/images/Lý_thuyết_và_thực_hành_cần_đi_đôi_với_nhau.png
thực hành,실습/실천,Học phải đi đôi với hành,배움은 실천과 함께해야 합니다.,https://r2.sangsang.vip/mp3/14735934dac94ddd02743b0bfe7bfe8f.mp3,https://r2.sangsang.vip/images/Học_phải_đi_đôi_với_hành.png
lỗi,실수/오류,Ai cũng có lúc mắc lỗi,누구나 실수를 할 때가 있습니다.,https://r2.sangsang.vip/mp3/7cfdffd78881726bed693169b3b1af44.mp3,https://r2.sangsang.vip/images/Ai_cũng_có_lúc_mắc_lỗi.png
nguy hiểm,위험,Khu vực này rất nguy hiểm,이 지역은 매우 위험합니다.,https://r2.sangsang.vip/mp3/daf7665c9f3b52c62fc4dd555c999257.mp3,https://r2.sangsang.vip/images/Khu_vực_này_rất_nguy_hiểm.png
an toàn,안전,Hãy đảm bảo an toàn lao động,노동 안전을 보장하세요.,https://r2.sangsang.vip/mp3/8287b681fd8251ae1e623ac562f6bbd6.mp3,https://r2.sangsang.vip/images/Hãy_đảm_bảo_an_toàn_lao_động.png
tự do,자유,Không có gì quý hơn độc lập,독립보다 더 귀한 것은 없습니다.,https://r2.sangsang.vip/mp3/49cffdf91a4ef65cb26415d525a9f041.mp3,https://r2.sangsang.vip/images/Không_có_gì_quý_hơn_độc_lập.png
hòa bình,평화,Chúng tôi yêu hòa bình,우리는 평화를 사랑합니다.,https://r2.sangsang.vip/mp3/00fb6c3b816c57639343dca986a44e79.mp3,https://r2.sangsang.vip/images/Chúng_tôi_yêu_hòa_bình.png
chiến tranh,전쟁,Chiến tranh mang lại đau thương,전쟁은 고통을 가져옵니다.,https://r2.sangsang.vip/mp3/577d6a5290c16226099b7bacac277801.mp3,https://r2.sangsang.vip/images/Chiến_tranh_mang_lại_đau_thương.png
lực lượng,힘/세력,Lực lượng vũ trang nhân dân,인민 무력부,https://r2.sangsang.vip/mp3/da9f0b1347514717d1393854bddb6b1a.mp3,https://r2.sangsang.vip/images/Lực_lượng_vũ_trang_nhân_dân.png
vũ khí,무기,Đây là một loại vũ khí nguy hiểm,이것은 위험한 무기입니다.,https://r2.sangsang.vip/mp3/1044bcbc6a0897db812b43419a4b6288.mp3,https://r2.sangsang.vip/images/Đây_là_một_loại_vũ_khí_nguy_hiểm.png
hàng hóa,상품/화물,Hàng hóa được vận chuyển bằng tàu,상품은 배로 운송됩니다.,https://r2.sangsang.vip/mp3/f6ea8b6226370342b1489a94f0ec5d1f.mp3,https://r2.sangsang.vip/images/Hàng_hóa_được_vận_chuyển_bằng_tàu.png
thị trường,시장,Thị trường chứng khoán đang biến động,주식 시장이 변동하고 있습니다.,https://r2.sangsang.vip/mp3/f4d16f62a842f2534847c47997b05e67.mp3,https://r2.sangsang.vip/images/Thị_trường_chứng_khoán_đang_biến_động.png
công nghiệp,산업/공업,Công nghiệp nặng đóng vai trò quan trọng,중공업은 중요한 역할을 합니다.,https://r2.sangsang.vip/mp3/9301c4117d87cf383f271fb7f34b4d32.mp3,https://r2.sangsang.vip/images/Công_nghiệp_nặng_đóng_vai_trò_quan_trọng.png
nông nghiệp,농업,Nông nghiệp Việt Nam đang phát triển,베트남 농업은 발전하고 있습니다.,https://r2.sangsang.vip/mp3/f02f162d7434ca77b9e4e90e479697d8.mp3,https://r2.sangsang.vip/images/Nông_nghiệp_Việt_Nam_đang_phát_triển.png
dịch vụ,서비스,Chất lượng dịch vụ ở đây rất tốt,여기 서비스 품질이 매우 좋습니다.,https://r2.sangsang.vip/mp3/61333a2e7ab46b490179ffed56df09d6.mp3,https://r2.sangsang.vip/images/Chất_lượng_dịch_vụ_ở_đây_rất_tốt.png
